Time,Activity wustl-activity.wakefield-0002cc010000053d
2/29/2020 12:00,0.661
2/29/2020 13:00,0.057
2/29/2020 14:00,10.3
2/29/2020 15:00,0.358
2/29/2020 16:00,0.226
2/29/2020 17:00,5.11
2/29/2020 18:00,23.7
2/29/2020 19:00,8.44
2/29/2020 20:00,21.7
2/29/2020 21:00,30.5
2/29/2020 22:00,11.6
2/29/2020 23:00,20.1
3/1/2020 0:00,0.565
3/1/2020 1:00,2.07
3/1/2020 2:00,7.93
3/1/2020 3:00,13.2
3/1/2020 4:00,12.3
3/1/2020 5:00,13.9
3/1/2020 6:00,11.2
3/1/2020 7:00,0.0244
3/1/2020 8:00,5.82
3/1/2020 9:00,0.0382
3/1/2020 10:00,7.4
3/1/2020 11:00,0.4
3/1/2020 12:00,0.987
3/1/2020 13:00,0.512
3/1/2020 14:00,3.07
3/1/2020 15:00,0.245
3/1/2020 16:00,0.898
3/1/2020 17:00,1.46
3/1/2020 18:00,9.22
3/1/2020 19:00,12.4
3/1/2020 20:00,24.8
3/1/2020 21:00,39
3/1/2020 22:00,10.3
3/1/2020 23:00,12.6
3/2/2020 0:00,17.4
3/2/2020 1:00,2.66
3/2/2020 2:00,6.09
3/2/2020 3:00,17.6
3/2/2020 4:00,6.23
3/2/2020 5:00,21
3/2/2020 6:00,7.87
3/2/2020 7:00,4.27
3/2/2020 8:00,1.61
3/2/2020 9:00,3.8
3/2/2020 10:00,0.463
3/2/2020 11:00,14.7
3/2/2020 12:00,1.67
3/2/2020 13:00,0.573
3/2/2020 14:00,0.134
3/2/2020 15:00,0.0574
3/2/2020 16:00,1.74
3/2/2020 17:00,0.198
3/2/2020 18:00,6.42
3/2/2020 19:00,10.8
3/2/2020 20:00,20.8
3/2/2020 21:00,29.1
3/2/2020 22:00,2.33
3/2/2020 23:00,3.88
3/3/2020 0:00,0.1
3/3/2020 1:00,9.34
3/3/2020 2:00,1.61
3/3/2020 3:00,0.386
3/3/2020 4:00,5.66
3/3/2020 5:00,21.1
3/3/2020 6:00,4.5
3/3/2020 7:00,14.2
3/3/2020 8:00,0.0972
3/3/2020 9:00,2.28
3/3/2020 10:00,1.03
3/3/2020 11:00,0.985
3/3/2020 12:00,12.4
3/3/2020 13:00,15.1
3/3/2020 14:00,2.45
3/3/2020 15:00,0.298
3/3/2020 16:00,3.43
3/3/2020 17:00,0.677
3/3/2020 18:00,1.96
3/3/2020 19:00,9.08
3/3/2020 20:00,20.9
3/3/2020 21:00,21.8
3/3/2020 22:00,10.1
3/3/2020 23:00,1.52
3/4/2020 0:00,3.78
3/4/2020 1:00,11.5
3/4/2020 2:00,1.34
3/4/2020 3:00,5.05
3/4/2020 4:00,2.03
3/4/2020 5:00,15.6
3/4/2020 6:00,28.5
3/4/2020 7:00,1.14
3/4/2020 8:00,11.1
3/4/2020 9:00,28.2
3/4/2020 10:00,0.565
3/4/2020 11:00,0.223
3/4/2020 12:00,3.88
3/4/2020 13:00,2.46
3/4/2020 14:00,0.427
3/4/2020 15:00,2.88
3/4/2020 16:00,1.65
3/4/2020 17:00,1.82
3/4/2020 18:00,8.22
3/4/2020 19:00,10.8
3/4/2020 20:00,28.5
3/4/2020 21:00,22.8
3/4/2020 22:00,10
3/4/2020 23:00,0.0873
3/5/2020 0:00,9.52
3/5/2020 1:00,4.59
3/5/2020 2:00,11.3
3/5/2020 3:00,16.7
3/5/2020 4:00,1.47
3/5/2020 5:00,18.8
3/5/2020 6:00,19.6
3/5/2020 7:00,0.0802
3/5/2020 8:00,1.29
3/5/2020 9:00,2.31
3/5/2020 10:00,21.2
3/5/2020 11:00,0.146
3/5/2020 12:00,6.67
3/5/2020 13:00,1.13
3/5/2020 14:00,0.855
3/5/2020 15:00,0.0936
3/5/2020 16:00,1.79
3/5/2020 17:00,8.83
3/5/2020 18:00,4.47
3/5/2020 19:00,7.93
3/5/2020 20:00,11.9
3/5/2020 21:00,22.6
3/5/2020 22:00,6.8
3/5/2020 23:00,22.7
3/6/2020 0:00,0.858
3/6/2020 1:00,11.4
3/6/2020 2:00,8
3/6/2020 3:00,2.69
3/6/2020 4:00,5.64
3/6/2020 5:00,19
3/6/2020 6:00,7.47
3/6/2020 7:00,29.4
3/6/2020 8:00,9.79
3/6/2020 9:00,1.18
3/6/2020 10:00,1.67
3/6/2020 11:00,0.269
3/6/2020 12:00,0.861
3/6/2020 13:00,2.91
3/6/2020 14:00,25
3/6/2020 15:00,2.12
3/6/2020 16:00,1.29
3/6/2020 17:00,0.188
3/6/2020 18:00,2.08
3/6/2020 19:00,8.68
3/6/2020 20:00,26.5
3/6/2020 21:00,18.4
3/6/2020 22:00,16.4
3/6/2020 23:00,19
3/7/2020 0:00,0.799
3/7/2020 1:00,5.23
3/7/2020 2:00,17
3/7/2020 3:00,9.96
3/7/2020 4:00,29.8
3/7/2020 5:00,4.67
3/7/2020 6:00,21.1
3/7/2020 7:00,5.85
3/7/2020 8:00,9.37
3/7/2020 9:00,13.4
3/7/2020 10:00,0.0244
3/7/2020 11:00,0.0244
3/7/2020 12:00,10.2
3/7/2020 13:00,1.39
3/7/2020 14:00,
