Time,Activity wustl-activity.wakefield-0002cc0100000530
2/29/2020 12:00,0.0244
2/29/2020 13:00,0.0574
2/29/2020 14:00,9.29
2/29/2020 15:00,0.556
2/29/2020 16:00,1.61
2/29/2020 17:00,1.39
2/29/2020 18:00,5.47
2/29/2020 19:00,6.14
2/29/2020 20:00,18.5
2/29/2020 21:00,10.6
2/29/2020 22:00,4.98
2/29/2020 23:00,21.9
3/1/2020 0:00,9.75
3/1/2020 1:00,2.18
3/1/2020 2:00,3.6
3/1/2020 3:00,7.39
3/1/2020 4:00,2.04
3/1/2020 5:00,17.9
3/1/2020 6:00,5.57
3/1/2020 7:00,0.432
3/1/2020 8:00,13.2
3/1/2020 9:00,0.466
3/1/2020 10:00,7.26
3/1/2020 11:00,1.34
3/1/2020 12:00,0.55
3/1/2020 13:00,1.44
3/1/2020 14:00,0.404
3/1/2020 15:00,0.459
3/1/2020 16:00,1.89
3/1/2020 17:00,8.6
3/1/2020 18:00,7.03
3/1/2020 19:00,6.14
3/1/2020 20:00,21.6
3/1/2020 21:00,31.4
3/1/2020 22:00,13.2
3/1/2020 23:00,8.94
3/2/2020 0:00,5.78
3/2/2020 1:00,3.96
3/2/2020 2:00,3.04
3/2/2020 3:00,4.78
3/2/2020 4:00,1.88
3/2/2020 5:00,15.8
3/2/2020 6:00,9.66
3/2/2020 7:00,8.65
3/2/2020 8:00,0.659
3/2/2020 9:00,4.02
3/2/2020 10:00,0.52
3/2/2020 11:00,6.27
3/2/2020 12:00,0.324
3/2/2020 13:00,0.385
3/2/2020 14:00,0.967
3/2/2020 15:00,0.445
3/2/2020 16:00,2.41
3/2/2020 17:00,0.167
3/2/2020 18:00,1.98
3/2/2020 19:00,5.24
3/2/2020 20:00,27.2
3/2/2020 21:00,12.1
3/2/2020 22:00,12.9
3/2/2020 23:00,36.2
3/3/2020 0:00,7.63
3/3/2020 1:00,8.62
3/3/2020 2:00,3.4
3/3/2020 3:00,5.77
3/3/2020 4:00,5.39
3/3/2020 5:00,18.9
3/3/2020 6:00,15.3
3/3/2020 7:00,3.76
3/3/2020 8:00,5.22
3/3/2020 9:00,0.122
3/3/2020 10:00,1.45
3/3/2020 11:00,0.066
3/3/2020 12:00,0.977
3/3/2020 13:00,3.98
3/3/2020 14:00,2.33
3/3/2020 15:00,0.959
3/3/2020 16:00,3.44
3/3/2020 17:00,1.73
3/3/2020 18:00,1.69
3/3/2020 19:00,8.26
3/3/2020 20:00,18.1
3/3/2020 21:00,17
3/3/2020 22:00,1.71
3/3/2020 23:00,4.34
3/4/2020 0:00,8.04
3/4/2020 1:00,9.64
3/4/2020 2:00,15.4
3/4/2020 3:00,8.03
3/4/2020 4:00,4.4
3/4/2020 5:00,11.5
3/4/2020 6:00,20.7
3/4/2020 7:00,5.65
3/4/2020 8:00,8.62
3/4/2020 9:00,2.22
3/4/2020 10:00,5.71
3/4/2020 11:00,1.93
3/4/2020 12:00,0.864
3/4/2020 13:00,2.66
3/4/2020 14:00,3.04
3/4/2020 15:00,4.13
3/4/2020 16:00,1.34
3/4/2020 17:00,2.44
3/4/2020 18:00,1.5
3/4/2020 19:00,8.18
3/4/2020 20:00,23.6
3/4/2020 21:00,2.93
3/4/2020 22:00,13.8
3/4/2020 23:00,28.1
3/5/2020 0:00,0.0595
3/5/2020 1:00,1.81
3/5/2020 2:00,10.2
3/5/2020 3:00,1.36
3/5/2020 4:00,1.99
3/5/2020 5:00,9.74
3/5/2020 6:00,29.6
3/5/2020 7:00,0.551
3/5/2020 8:00,4.53
3/5/2020 9:00,0.153
3/5/2020 10:00,17
3/5/2020 11:00,1.76
3/5/2020 12:00,5.51
3/5/2020 13:00,2.83
3/5/2020 14:00,1.03
3/5/2020 15:00,2.63
3/5/2020 16:00,1.33
3/5/2020 17:00,3.04
3/5/2020 18:00,4.71
3/5/2020 19:00,6.41
3/5/2020 20:00,7.05
3/5/2020 21:00,20.3
3/5/2020 22:00,11.2
3/5/2020 23:00,7.76
3/6/2020 0:00,2.58
3/6/2020 1:00,8.65
3/6/2020 2:00,2.16
3/6/2020 3:00,3.49
3/6/2020 4:00,3.86
3/6/2020 5:00,7.26
3/6/2020 6:00,20.8
3/6/2020 7:00,5.85
3/6/2020 8:00,12.6
3/6/2020 9:00,11.2
3/6/2020 10:00,0.931
3/6/2020 11:00,0.158
3/6/2020 12:00,0.607
3/6/2020 13:00,0.706
3/6/2020 14:00,1.3
3/6/2020 15:00,1.42
3/6/2020 16:00,8.18
3/6/2020 17:00,0.382
3/6/2020 18:00,1.7
3/6/2020 19:00,1.87
3/6/2020 20:00,3.65
3/6/2020 21:00,7.96
3/6/2020 22:00,20.2
3/6/2020 23:00,3.19
3/7/2020 0:00,26.8
3/7/2020 1:00,5.18
3/7/2020 2:00,2.41
3/7/2020 3:00,4.2
3/7/2020 4:00,7.16
3/7/2020 5:00,7.94
3/7/2020 6:00,10.8
3/7/2020 7:00,5.8
3/7/2020 8:00,13.2
3/7/2020 9:00,4.33
3/7/2020 10:00,0.873
3/7/2020 11:00,2.88
3/7/2020 12:00,2.7
3/7/2020 13:00,0.0244
3/7/2020 14:00,
