Time,A0D
6/6/2024 13:00,1.86
6/6/2024 14:00,12
6/6/2024 15:00,2.16
6/6/2024 16:00,17.4
6/6/2024 17:00,5.79
6/6/2024 18:00,4.3
6/6/2024 19:00,28.5
6/6/2024 20:00,32.1
6/6/2024 21:00,26.9
6/6/2024 22:00,25.7
6/6/2024 23:00,28.4
6/7/2024 0:00,18.3
6/7/2024 1:00,1.39
6/7/2024 2:00,14.5
6/7/2024 3:00,3.39
6/7/2024 4:00,7.97
6/7/2024 5:00,31.1
6/7/2024 6:00,10.4
6/7/2024 7:00,12.6
6/7/2024 8:00,1.84
6/7/2024 9:00,6.99
6/7/2024 10:00,2.46
6/7/2024 11:00,5.36
6/7/2024 12:00,5.07
6/7/2024 13:00,9.13
6/7/2024 14:00,1.87
6/7/2024 15:00,3.84
6/7/2024 16:00,10.5
6/7/2024 17:00,18.3
6/7/2024 18:00,27.8
6/7/2024 19:00,28.7
6/7/2024 20:00,26
6/7/2024 21:00,29.4
6/7/2024 22:00,25.9
6/7/2024 23:00,20.9
6/8/2024 0:00,8.36
6/8/2024 1:00,5.34
6/8/2024 2:00,18.6
6/8/2024 3:00,18.4
6/8/2024 4:00,2.33
6/8/2024 5:00,16.8
6/8/2024 6:00,3.89
6/8/2024 7:00,5.9
6/8/2024 8:00,7.28
6/8/2024 9:00,2.89
6/8/2024 10:00,7.77
6/8/2024 11:00,12.5
6/8/2024 12:00,18.3
6/8/2024 13:00,0.183
6/8/2024 14:00,4.63
6/8/2024 15:00,11.3
6/8/2024 16:00,1.66
6/8/2024 17:00,1.92
6/8/2024 18:00,2.89
6/8/2024 19:00,21.4
6/8/2024 20:00,18.2
6/8/2024 21:00,7.09
6/8/2024 22:00,0.715
6/8/2024 23:00,3.16
6/9/2024 0:00,2.77
6/9/2024 1:00,2.35
6/9/2024 2:00,30.2
6/9/2024 3:00,17.3
6/9/2024 4:00,8.23
6/9/2024 5:00,2.87
6/9/2024 6:00,1.43
6/9/2024 7:00,0.513
6/9/2024 8:00,11.3
6/9/2024 9:00,3.46
6/9/2024 10:00,0.359
6/9/2024 11:00,0.705
6/9/2024 12:00,2.05
6/9/2024 13:00,1.49
6/9/2024 14:00,0.335
6/9/2024 15:00,0.24
6/9/2024 16:00,0.454
6/9/2024 17:00,0.899
6/9/2024 18:00,10.2
6/9/2024 19:00,33.8
6/9/2024 20:00,23.9
6/9/2024 21:00,29.5
6/9/2024 22:00,25.6
6/9/2024 23:00,7.21
6/10/2024 0:00,1.17
6/10/2024 1:00,1.05
6/10/2024 2:00,0.71
6/10/2024 3:00,0.723
6/10/2024 4:00,0.454
6/10/2024 5:00,27.9
6/10/2024 6:00,21.7
6/10/2024 7:00,0.311
6/10/2024 8:00,0.0613
6/10/2024 9:00,4.47
6/10/2024 10:00,3.8
6/10/2024 11:00,0.261
6/10/2024 12:00,0.0244
6/10/2024 13:00,0.646
6/10/2024 14:00,0.0244
6/10/2024 15:00,7.86
6/10/2024 16:00,0.0244
6/10/2024 17:00,0.25
6/10/2024 18:00,0.743
6/10/2024 19:00,27.5
6/10/2024 20:00,27.6
6/10/2024 21:00,13.6
6/10/2024 22:00,0.0244
6/10/2024 23:00,14.2
6/11/2024 0:00,32.3
6/11/2024 1:00,9.4
6/11/2024 2:00,9.12
6/11/2024 3:00,17.1
6/11/2024 4:00,0.283
6/11/2024 5:00,0.353
6/11/2024 6:00,0.652
6/11/2024 7:00,0.0244
6/11/2024 8:00,23.2
6/11/2024 9:00,2.49
6/11/2024 10:00,1.03
6/11/2024 11:00,1.43
6/11/2024 12:00,1.08
6/11/2024 13:00,0.0244
6/11/2024 14:00,0.246
6/11/2024 15:00,0.393
6/11/2024 16:00,18.8
6/11/2024 17:00,0.104
6/11/2024 18:00,7.06
6/11/2024 19:00,28.4
6/11/2024 20:00,23.2
6/11/2024 21:00,5.24
6/11/2024 22:00,3.55
6/11/2024 23:00,22.7
6/12/2024 0:00,22.4
6/12/2024 1:00,19.5
6/12/2024 2:00,0.209
6/12/2024 3:00,0.0244
6/12/2024 4:00,12.6
6/12/2024 5:00,0.0244
6/12/2024 6:00,1.29
6/12/2024 7:00,0.638
6/12/2024 8:00,6.06
6/12/2024 9:00,16.9
6/12/2024 10:00,0.0244
6/12/2024 11:00,1.81
6/12/2024 12:00,0.578
6/12/2024 13:00,1.13
6/12/2024 14:00,3.24
6/12/2024 15:00,1.09
6/12/2024 16:00,8.97
6/12/2024 17:00,0.421
6/12/2024 18:00,0.657
6/12/2024 19:00,0.611
6/12/2024 20:00,21.3
6/12/2024 21:00,26.4
6/12/2024 22:00,21
6/12/2024 23:00,22.1
6/13/2024 0:00,11.6
6/13/2024 1:00,8.09
6/13/2024 2:00,18
6/13/2024 3:00,16
6/13/2024 4:00,1.09
6/13/2024 5:00,3.16
6/13/2024 6:00,0.0244
6/13/2024 7:00,0.0244
6/13/2024 8:00,6.4
6/13/2024 9:00,
6/13/2024 10:00,
6/13/2024 11:00,
6/13/2024 12:00,
