File,Group,Accuracy
FSHAM_JMT_FED005.csv,SHAM,0.4631578947368421
FSHAM_JMT_FED006.csv,SHAM,0.558282208588957
FSHAM_JMT_FED007.csv,SHAM,0.5630252100840336
FSHAM_JMT_FED011.csv,SHAM,0.5648967551622419
FSHAM_YHC_CE11FED001_dual.csv,SHAM,0.5285714285714286
FSHAM_YHC_CE11FED002_dual.csv,SHAM,0.5628140703517588
FSHAM_YHC_CE11FED003_dual.csv,SHAM,0.5939759036144578
FSHAM_YHC_CE12FED001_dual.csv,SHAM,0.5112059765208111
FSHAM_YHC_CE12FED002_dual.csv,SHAM,0.5030837004405286
FSHAM_YHC_CE6FED000.csv,SHAM,0.5781119465329991
FSHAM_YHC_CE6FED003.csv,SHAM,0.5786802030456852
FSHAM_YHC_CE6FED005.csv,SHAM,0.565059144676979
FSHAM_YHC_CE7FED007.csv,SHAM,0.5567144719687093
MSHAM_JMT_FED003.csv,SHAM,0.41465594280607687
MSHAM_JMT_FED004.csv,SHAM,0.5098684210526315
MSHAM_JMTB_FED027.csv,SHAM,0.7088815789473685
MSHAM_YHC_CE11aFED001_dual.csv,SHAM,0.5145348837209303
MSHAM_YHC_CE12FED007_dual.csv,SHAM,0.5608308605341247
MSHAM_YHC_CE12FED008_dual.csv,SHAM,0.5735707591377694
FSNI_JMT_FED008.csv,SNI,0.5602636534839924
FSNI_JMT_FED009.csv,SNI,0.6618098159509203
FSNI_JMT_FED010.csv,SNI,0.5302571860816944
FSNI_JMT_FED012ch.csv,SNI,0.5416931890515595
FSNI_YHC_CE3r2FED000.csv,SNI,0.45789473684210524
FSNI_YHC_CE3r2FED003.csv,SNI,0.47985347985347987
FSNI_YHC_CE3r2FED005.csv,SNI,0.40279162512462613
FSNI_YHC_CE3r2FED006.csv,SNI,0.42901234567901236
FSNI_YHC_CE6FED006_CheckSNI.csv,SNI,0.5630550621669627
FSNI_YHC_CE6FED022.csv,SNI,0.5630550621669627
FSNI_YHC_CE7FED002.csv,SNI,0.483996120271581
FSNI_YHC_CE7FED003.csv,SNI,0.5774058577405857
MSNI_JMT_FED001.csv,SNI,0.5548902195608783
MSNI_JMT_FED002.csv,SNI,0.5807560137457045
MSNI_YHC_CE12FED003.csv,SNI,0.5239520958083832
MSNI_YHC_CE12FED004.csv,SNI,0.5965978128797084
MSNI_YHC_CE12FED005.csv,SNI,0.5190283400809717
MSNI_YHC_CE12FED006.csv,SNI,0.5788888888888889
