,F_SNI_Met_Met1_FED007_033024_00.csv,F_SNI_Met_Met1_FED008_032924_00.csv,F_SNI_Met_Met1_FED009_032824_00.csv,F_SNI_Met_Met2_FED007_042524_00.csv,F_SNI_Met_Met2_FED008_042424_00.csv,F_SNI_Met_Met2_FED009_042524_00.csv,F_SNI_Met_Met2_FED015_042524_00.csv,F_SNI_Met_Met2_FED016_042424_00.csv,M_SNI_Met_Met1_FED010_032924_00.csv,M_SNI_Met_Met1_FED011_033024_00.csv,M_SNI_Met_Met1_FED012_032924_00.csv,M_SNI_Met_Met2_FED010_042424_00.csv,M_SNI_Met_Met2_FED011_042524_00.csv,M_SNI_Met_Met2_FED012_042424_00.csv,Average,STD
Pellets Taken,43.0,38.0,41.0,48.0,41.0,28.0,26.0,35.0,40.0,34.0,29.0,52.0,55.0,44.0,39.57142857142857,8.697606087214554
Pellets Taken (Night),43.0,38.0,41.0,38.0,33.0,19.0,19.0,25.0,40.0,34.0,29.0,40.0,42.0,31.0,33.714285714285715,8.147001066259067
Pellets Taken (Day),,,,8.0,8.0,8.0,7.0,7.0,,,,8.0,9.0,8.0,7.875,0.6408699444616557
Pellets per Hour,7.30016505541146,6.452221488538817,7.186328448317834,10.177877252915538,7.7663772691397,5.032702581257177,4.4993510551362785,6.7121244406562965,6.9464544138929085,5.982697101520113,5.982808022922636,9.47032933677341,10.838624917889206,7.856363456006349,7.300316060026981,1.8334124428466363
Pellets per Hour (Night),7.30016505541146,6.452221488538817,7.186328448317834,9.206541490006057,7.308970099667775,4.006091132716411,4.069975008925384,5.985634477254589,6.9464544138929085,5.982697101520113,5.982808022922636,8.33140476741495,10.01523481486388,6.22281699565072,6.785524522650252,1.6839374499992976
Pellets per Hour (Day),,,,13.591316658801322,10.468920392584515,9.746192893401016,6.304728546409808,6.745182012847966,,,,11.598872331856624,10.21759697256386,12.926391382405743,10.199900148858855,2.6262019864078154
Number of Meals,17.0,11.0,20.0,21.0,13.0,24.0,24.0,29.0,25.0,15.0,18.0,33.0,23.0,19.0,20.857142857142858,6.04924843211176
Number of Meals (Night),17.0,11.0,20.0,20.0,12.0,19.0,19.0,24.0,25.0,15.0,18.0,30.0,20.0,17.0,19.071428571428573,4.984040463385036
Number of Meals (Day),,,,1.0,1.0,5.0,5.0,5.0,,,,3.0,4.0,2.0,3.25,1.7525491637693282
Average Pellets per Meal,2.4705882352941178,3.3636363636363638,2.0,2.142857142857143,3.076923076923077,1.0833333333333333,1.0416666666666667,1.0689655172413792,1.56,2.2,1.5555555555555556,1.4242424242424243,2.130434782608696,2.0,1.9370145070256253,0.7131045413782329
Average Pellets per Meal (Night),2.4705882352941178,3.3636363636363638,2.0,1.9,2.75,1.0,1.0,1.0416666666666667,1.56,2.2,1.5555555555555556,1.3333333333333333,2.1,1.8235294117647058,1.8641649690179103,0.6922794675437096
Average Pellets per Meal (Day),,,,7.0,7.0,1.4,1.2,1.2,,,,2.3333333333333335,2.0,3.5,3.2041666666666666,2.4611545554945846
% Pellets within Meals,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Night),100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0
% Pellets within Meals (Day),,,,100.0,100.0,100.0,100.0,100.0,,,,100.0,100.0,100.0,100.0,0.0
Total Pokes,383.0,122.0,357.0,546.0,243.0,672.0,570.0,569.0,583.0,138.0,281.0,559.0,513.0,469.0,428.92857142857144,176.33467492928776
Total Pokes (Night),382.0,121.0,356.0,514.0,215.0,646.0,551.0,539.0,582.0,137.0,280.0,525.0,475.0,428.0,410.7857142857143,168.03350333120548
Total Pokes (Day),,,,28.0,27.0,24.0,18.0,22.0,,,,26.0,26.0,31.0,25.25,3.955105199973465
Correct Pokes (%),0.009295039164490862,0.009262295081967213,0.009467787114845938,0.009871794871794872,0.009711934156378601,0.009895833333333333,0.009508771929824562,0.00868189806678383,0.009708404802744425,0.00927536231884058,0.0099288256227758,0.008998211091234347,0.009259259259259259,0.009722814498933903,0.009470587950943394,0.0003651995366918889
Correct Pokes (%) (Night),93.19371727748691,93.38842975206612,94.9438202247191,99.61089494163424,97.20930232558139,99.38080495356037,95.09981851179673,88.31168831168831,97.2508591065292,93.43065693430657,99.64285714285714,91.23809523809524,94.94736842105263,99.53271028037383,95.51293024441055,3.4645611641509317
Correct Pokes (%) (Day),,,,100.0,103.7037037037037,100.0,105.55555555555556,86.36363636363636,,,,96.15384615384616,96.15384615384616,100.0,98.4913234913235,5.878641634069929
Recording Duration (Hours),5.8902777777777775,5.889444444444444,5.705277777777778,4.716111111111111,5.279166666666667,5.563611111111111,5.778611111111111,5.214444444444444,5.758333333333334,5.683055555555556,4.847222222222222,5.490833333333334,5.0744444444444445,5.600555555555555,5.463670634920634,0.3794494058467829
Battery Change (V),-0.009999999999999787,-0.020000000000000018,-0.020000000000000462,-0.010000000000000231,-0.009999999999999787,-0.020000000000000462,-0.019999999999999574,0.0,-0.020000000000000018,-0.010000000000000231,0.0,-0.020000000000000018,-0.010000000000000231,-0.019999999999999574,-0.013571428571428599,0.007449463436684918
Battery Rate (V/hour),-0.0016977128035840243,-0.003395906046599381,-0.003505526072350244,-0.0021203910943574525,-0.0018942383583267156,-0.0035947875580409237,-0.0034610392731816786,0.0,-0.003473227206946457,-0.0017596167945647797,0.0,-0.0036424343602974685,-0.001970659075979901,-0.003571074298184628,-0.002434758067315261,0.0012937395715109886
Motor Turns (Mean),1.6511627906976745,1.4473684210526316,1.1951219512195121,1.6304347826086956,1.170731707317073,1.3703703703703705,1.4230769230769231,1.375,1.1,1.8235294117647058,1.4482758620689655,1.4375,1.72,1.205128205128205,1.4284071732360542,0.21789068731814218
Motor Turns (Median),2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.2142857142857142,0.4258153136263201
Motor Turns Above 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
